Id_bien;id_codedep_codecommune;No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
28027;54395;193;;AV;DE LA LIBERATION;1;25,31;25;Appartement
28028;54426;21;;RUE;HAUTE;2;94,34;98;Appartement
28029;56121;8;;RUE;ROCHAMBEAU;3;60,88;70;Appartement
28030;56121;18;;RUE;JULES LE GRAND;3;56,26;55;Appartement
28031;56121;9;;RUE;MAURICE THOREZ;5;94,98;95;Appartement
28032;56178;155;;RUE;NATIONALE;4;69,97;72;Appartement
28033;56186;6;;RUE;DES MARRONNIERS;1;17,39;17;Appartement
28034;56260;3;;SQ;PRE DU BONDON;2;49,08;49;Appartement
28035;59009;330;A;AV;DE BRIGODE;3;55,1;55;Appartement
28036;59034;5;;RUE;DE PONT A MARCQ;2;84,36;60;Appartement
28037;59178;194;;RUE;LOUIS BLERIOT;2;44,94;45;Appartement
28038;59350;132;;RUE;DE LA LOUVIERE;3;61,54;62;Appartement
