product_id;onsale_web;price;stock_quantity;stock_status;purchase_price
5547;1;24,6;16;instock;12,71
5548;1;48,8;5;instock;26,47
5550;1;34,3;8;instock;17,9
5551;1;36,3;6;instock;17,82
5552;1;57,7;5;instock;30,11
5554;1;38;13;instock;19,83
5559;0;27,9;3;instock;13,98
5560;0;47;62;instock;25,5
5561;1;58;8;instock;30,27
5563;1;58;16;instock;29,07
5564;1;30,8;10;instock;16,07
5565;1;92;0;outofstock;46,11
5566;1;27,5;12;instock;14,63
5569;0;19,9;1;instock;9,77
5570;0;22,5;0;outofstock;11,16
5573;1;34,7;22;instock;17,39
5574;1;59,6;2;instock;30,18
5580;1;83,7;4;instock;41,08
5608;1;30,5;11;instock;15,29
5609;1;38,6;7;instock;20,54
5610;1;18;29;instock;9,02
5611;1;63,4;14;instock;33,74
5612;1;124,8;19;instock;66,41
5613;1;19,2;28;instock;10,22
5614;1;19,2;17;instock;9,42
5615;1;56,4;5;instock;30,6
5616;1;38,4;7;instock;19,05
5617;1;27,8;0;outofstock;14,65
5618;1;71,3;5;instock;36,84
5619;1;71,3;10;instock;38,31
5628;1;25;15;instock;12,79
5629;1;10,3;28;instock;5,06
5630;1;28;23;instock;14,61
5690;1;44,6;9;instock;21,89
5693;1;13;29;instock;6,52
5694;1;12,7;25;instock;6,23
5695;1;6,5;33;instock;3,53
5696;1;17,5;24;instock;9,49
5697;1;29,9;14;instock;15,29
5700;1;44,5;-1;outofstock;22,3
5703;1;29,4;23;instock;15,95
5704;1;16,9;35;instock;8,3
5705;1;19,8;23;instock;9,82
5706;1;10,3;26;instock;5,32
5707;1;10,8;0;outofstock;5,69
5709;1;31,7;0;outofstock;16,54
5711;1;25;23;instock;12,4
5712;1;57,6;0;outofstock;30,36
5715;1;13,7;15;instock;7,29
5722;1;7,1;38;instock;3,48
5736;1;14,9;32;instock;7,31
5737;1;11;25;instock;5,57
5738;1;14,6;15;instock;7,17
5739;1;10,7;13;instock;5,53
5741;1;73,3;4;instock;37,87
5742;1;42,1;3;instock;22,84
5743;1;57;7;instock;29,74
